"","GENE","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","ABCC3","ACOX2","ACSL3","AHCYL1","AK2","AKAP1","ARF1","ARHGDIB","ARL6IP1","ARNT2","ARPC1B","ASF1A","ATP6AP1","BAG4","BIRC2","BMP7","BRCA1","BTF3","BUB1","BUB3","KIT","C10orf116","C10orf67","C11orf45","C11orf54","C4A","C5orf13","CABP4","CASP1","CASP3","CASP7","CCNG2","CCNH","CD38","CD3D","CD4","CD58","CD59","CDH1","CDKN2D","CDKN3","CEBPG","CENPE","CES2","CETN3","CHAF1B","CHI3L1","CHI3L2","CKS1B","CKS2","CLDN3","CLDN4","CLGN","CLTC","COX5A","CP","CRABP1","CSE1L","CSRP2","CST6","CTNNA1","CX3CL1","CXCL9","DAZAP2","DLX5","DUSP4","DUSP6","DYRK4","ECHDC1","EIF2C2","EPHX2","EPOR","ETFA","EXOSC9","EXT2","FABP7","FADD","FAM3C","FANCA","FBL","FEM1B","FGF12","FKBP11","FOLR1","FUBP1","FUCA1","FUT8","GARS","GART","GATA3","GATM","GLG1","GPSM2","GSTK1","GSTM1","GSTP1","GTPBP4","H1F0","H3F3B","HDAC2","HINT1","HIPK2","HLA.DRB1","HMGB2","HOXB6","HTATIP2","IDH2","IFI30","IFI6","IFITM1","IGBP1","IGFBP2","IL13RA1","IMPA2","INPP4B","INSM1","ISG15","ISG20","ITGB4","KCNMA1","KIAA0101","KIAA0182","KIF13B","KIF2C.1","KRT13","KRT14.1","KRT15","KRT16","KRT17.1","KRT18","HBA2","LIPE","IVL","LEP","ITPKA","CNN1","ABP1","C6","GPD1","MUC2","MYH2","PYGM","RDH5","ROS1","TNNC2","IL20","MYO3B","AQPEP","PLAC9","ARMC3","MS4A15","SKA1","HEPACAM","LRRN4CL","SKA3","PI16","VSTM2A","SCUBE3","CNIH2","MAMDC2","ASPM","PRSS33","PYDC1","LOC283392","NPW","TMEM145","IGSF10","TUSC5","S100A7A","GPIHBP1","GPR109A","LST.3TM12","FAM5C","KY","SBSN","C9orf169","SPDYC","KRTDAP","SAMD5","CSAG3","C14orf180","DEFB132","C4orf40","KLHL31","PRRT4","CXADRP3","SULT1C3","LMOD2","CT45A1","HEPN1","FAM196A","NBPF6","LRTM2","LOC728264","MAGEA9B","PLIN4","GAGE2D","FAM72A","FAM196B","GAGE12D","PDE2A","PDE3B","PDK4","PENK","PFKFB1","PITX1","PLIN1","PLK1","FXYD1","PPARG","PPP1R1A","PPP2R2C","MASP1","PVALB","PYGM.1","RBP4","RDH5.1","ROS1.1","RRM2.1","S100A8","S100A9","S100P","SAA1","SAA2","SERPINB3","SERPINB4","SCN3A","SCN4A","SRL","CCL11","CCL14","CXCL11","SFTPB","SIX3","SLC1A6","SLC2A4","SLC6A4","SLN","SOX2","SPRR1B","AURKA","SYT4","TDO2","TFR2","TIMP4","TK1","CLEC3B","TNNC2.1","TNNC1","TNNI1","TNNI2","TNNI3","TNNT3","IDH3","IFI6.1","ISG15.1","STAT1","ISG20.1","CXCL9.1","CASP1.1","NMI","YES1","SOD2","SNRPD1","EIF2C2.1","GARS.1","SOX4","SUBTYPE"
"201","TCGA-EW-A1P0-01A-11R-A144-07",441,2081,4012,2477,432,6880,1711,23,784,515,186,9337,639,961,68,1047,18595,346,1107,18157,94,1814,1354,1100,3,559,9,208,4469,394,2,3471,16059,14934,804,8502,680,443,594,130,38,46,603,1162,113,20272,1135,705,858,992,6449,8542,6783,9510,3499,2108,31683,2708,18097,27631,9744,587,16423,1682,3166,4,1076,25140,913,5107,1226,15280,2,43,2131,100985,1727,46,275,1656,2214,3617,1474,30,154,2178,240,12738,32797,580,277,1525,873,2785,1320,406,10469,42,1090,709,2477,6752,604,26513,1586,43,71749,8820,96,28,18550,296,1091,16623,12,271,487,420,1134,579,2592,107,2451,1249,2714,3,730,2476,257,3279,1970,13,640,0,5256,2337,1606,10674,4854,46050,922,9281,2101,4368,2,1009,2618,20618,18861,2367,2591,7467,7878,6839,2501,1259,7888,6754,11001,7609,2926,938,7771,370,92,3,2307,1149,3586,5028,269,9814,1241,1100,0,3,392,105,559,48392,2477,100985,68,18861,186,2477,1354,5028,296,580,680,257,154,257,441,1814,441,2081,1814,441,587,16423,1682,3166,2081,1814,441,257,9510,42,441,441,2081,4012,2477,432,6880,1711,23,784,515,186,9337,2367,2591,7467,7878,6839,2501,1259,432,6880,1711,23,784,515,186,9337,639,961,68,1047,18595,346,277,1525,873,2785,1320,406,10469,42,1090,709,2477,6752,14934,804,8502,680,443,594,130,38,46,1100,0,3,392,105,559,48392,2477,100985,2081,1814,441,587,16423,1682,3166,2081,1814,441,257,9510,42,441,NA,NA,NA,NA,NA,2591,7467,7878,6839,2501,1259,7888,6754,11001,7609,2926,938,594,130,38,46,603,1162,113,20272,2081,154,257,6880,"LumA"
"202","TCGA-EW-A424-01A-11R-A24H-07",873,1001,6820,5391,840,4242,2496,215,621,739,2380,4031,872,4288,242,21792,15796,511,950,21307,571,2468,1924,579,11163,8183,8932,13571,4928,448,708,3171,55106,31702,1085,8968,1227,492,505,186,15288,6436,1326,1422,8111,50446,738,2652,1426,1216,3243,1706,9439,15189,4938,8317,45092,9558,19107,3529,7551,1065,18560,144,2354,585,783,43905,719,12837,2829,15396,49,74,1182,120396,7317,145,423,1788,2774,8862,2132,41,46,743,426,39062,8524,749,245,2843,581,2605,1143,378,6306,2148,2323,1374,4248,22102,1686,20871,4251,350,3294,6103,505,803,31322,3550,72,20347,10,2184,3837,1687,2203,157,1289,1701,5144,1813,5622,59,2136,4236,253,11242,2965,38,1841,283,4378,1989,2684,6405,4013,52018,1080,8347,1564,7803,12,4028,3979,21559,45445,6741,16358,4907,7242,8440,5049,1961,9398,3000,2617,8341,3554,10960,13480,851,3631,456,1518,1057,7570,2831,558,6155,4461,579,9,11163,12490,254,8183,78734,5391,120396,242,45445,2380,5391,1924,2831,3550,749,1227,253,46,253,873,2468,873,1001,2468,873,1065,18560,144,2354,1001,2468,873,253,15189,2148,873,873,1001,6820,5391,840,4242,2496,215,621,739,2380,4031,6741,16358,4907,7242,8440,5049,1961,840,4242,2496,215,621,739,2380,4031,872,4288,242,21792,15796,511,245,2843,581,2605,1143,378,6306,2148,2323,1374,4248,22102,31702,1085,8968,1227,492,505,186,15288,6436,579,9,11163,12490,254,8183,78734,5391,120396,1001,2468,873,1065,18560,144,2354,1001,2468,873,253,15189,2148,873,NA,NA,NA,NA,NA,16358,4907,7242,8440,5049,1961,9398,3000,2617,8341,3554,10960,505,186,15288,6436,1326,1422,8111,50446,1001,46,253,4242,"LumB"
"203","TCGA-E2-A10E-01A-21R-A10J-07",547,1853,4315,3726,602,4585,2374,182,579,1385,836,9386,1066,3183,431,27946,110036,847,101,51642,254,6286,1577,573,1891,1727,2286,5391,7641,812,24,5368,49348,49890,1335,2462,37977,325,517,201,1687,5017,811,3452,2921,228512,458,986,958,775,1063,5733,25351,13029,4629,5042,39069,26785,18339,9067,5773,1640,16223,746,2839,236,1648,41927,1518,15214,891,5224,13,111,1071,180837,4111,299,686,3354,3439,35163,2155,67,198,2327,824,32644,36477,396,434,2981,793,2249,654,1166,1074,1107,1852,1309,1190,8872,1514,49376,4527,49649,18,9694,345,96,49647,1126,4949,25359,30,22995,8627,1076,2021,546,4377,207,4265,1702,6066,15,1411,2878,492,4094,7284,133,1984,95,6107,5400,10555,6895,6086,71482,1127,9675,932,6384,7,12877,3692,41748,59539,7368,9871,1084,10898,7479,269,1337,10455,8595,20493,28365,4204,4442,20157,299,5005,7,7851,962,7230,9552,1165,9745,18017,573,3,1891,52453,127,1727,80442,3726,180837,431,59539,836,3726,1577,9552,1126,396,37977,492,198,492,547,6286,547,1853,6286,547,1640,16223,746,2839,1853,6286,547,492,13029,1107,547,547,1853,4315,3726,602,4585,2374,182,579,1385,836,9386,7368,9871,1084,10898,7479,269,1337,602,4585,2374,182,579,1385,836,9386,1066,3183,431,27946,110036,847,434,2981,793,2249,654,1166,1074,1107,1852,1309,1190,8872,49890,1335,2462,37977,325,517,201,1687,5017,573,3,1891,52453,127,1727,80442,3726,180837,1853,6286,547,1640,16223,746,2839,1853,6286,547,492,13029,1107,547,NA,NA,NA,NA,NA,9871,1084,10898,7479,269,1337,10455,8595,20493,28365,4204,4442,517,201,1687,5017,811,3452,2921,228512,1853,198,492,4585,"LumB"
"204","TCGA-A2-A4S2-01A-12R-A266-07",364,294,4240,6320,187,2198,1338,59,383,223,705,1419,194,2411,232,15353,11702,160,162,15114,306,2423,1506,266,3094,2692,3228,9987,2635,229,116,1160,20733,20839,519,4099,13731,185,184,87,9952,786,264,538,2804,22774,101,427,321,421,441,87,7658,3214,4814,2722,29654,8150,12437,1532,4889,987,10089,400,1880,102,441,28117,327,4206,987,1232,0,44,503,356741,4260,31,2078,1072,2364,9867,1448,135,264,3116,362,14818,17379,306,125,1656,210,2227,748,735,3335,186,929,647,1200,6816,112,14386,1659,244,28,4244,204,13,27319,2493,1371,11637,13,11383,1680,453,530,272,2128,197,1192,779,2535,19,1021,1794,239,3864,2502,17,1325,64,2464,1977,2449,3322,2250,35820,2132,7419,363,4745,158,2376,1614,19458,17461,2694,3782,4495,12893,1813,180,801,4748,11200,98271,72876,1970,9624,5553,280,469,13,37915,2247,4223,2452,368,7317,7621,266,1,3094,2387,84,2692,23051,6320,356741,232,17461,705,6320,1506,2452,2493,306,13731,239,264,239,364,2423,364,294,2423,364,987,10089,400,1880,294,2423,364,239,3214,186,364,364,294,4240,6320,187,2198,1338,59,383,223,705,1419,2694,3782,4495,12893,1813,180,801,187,2198,1338,59,383,223,705,1419,194,2411,232,15353,11702,160,125,1656,210,2227,748,735,3335,186,929,647,1200,6816,20839,519,4099,13731,185,184,87,9952,786,266,1,3094,2387,84,2692,23051,6320,356741,294,2423,364,987,10089,400,1880,294,2423,364,239,3214,186,364,NA,NA,NA,NA,NA,3782,4495,12893,1813,180,801,4748,11200,98271,72876,1970,9624,184,87,9952,786,264,538,2804,22774,294,264,239,2198,"Normal"
"205","TCGA-C8-A12X-01A-11R-A115-07",246,309,2186,3843,328,415,629,112,542,674,50,922,382,2984,37,5828,19485,226,475,7894,306,2060,405,336,9,4,1,3494,12572,345,2,2051,9197,1505,1476,1088,1231,299,163,141,1127,76,374,1674,21,11000,26,1256,607,361,807,518,3144,3413,3769,1450,22251,2541,12825,3726,4260,322,28133,2149,2005,11,715,9184,282,6797,79,5447,0,13,419,22196,766,1,203,1353,2359,2087,377,13,48,1134,121,6815,36775,516,87,2511,134,1938,256,737,133,7,913,442,7953,11712,2,15999,2019,8,783,3504,63,1,10870,969,140,8584,12,1249,478,435,1580,294,827,88,1019,633,2685,43,1390,1737,1262,2992,2511,76,1775,122,1111,3060,628,3248,1827,34352,58,4969,331,4022,4,842,1582,11191,13623,3738,3644,3726,2452,1907,30,1947,4267,4290,110426,57088,1389,9976,3142,1507,227,83,29877,369,3494,579,310,4217,1932,336,56,9,158,1,4,29163,3843,22196,37,13623,50,3843,405,579,969,516,1231,1262,48,1262,246,2060,246,309,2060,246,322,28133,2149,2005,309,2060,246,1262,3413,7,246,246,309,2186,3843,328,415,629,112,542,674,50,922,3738,3644,3726,2452,1907,30,1947,328,415,629,112,542,674,50,922,382,2984,37,5828,19485,226,87,2511,134,1938,256,737,133,7,913,442,7953,11712,1505,1476,1088,1231,299,163,141,1127,76,336,56,9,158,1,4,29163,3843,22196,309,2060,246,322,28133,2149,2005,309,2060,246,1262,3413,7,246,NA,NA,NA,NA,NA,3644,3726,2452,1907,30,1947,4267,4290,110426,57088,1389,9976,163,141,1127,76,374,1674,21,11000,309,48,1262,415,"LumB"
"206","TCGA-A2-A1FZ-01A-51R-A14D-07",701,716,4159,6716,177,2899,1106,123,540,416,1428,3977,513,2764,1100,20987,47444,300,134,28516,338,6194,1148,540,2822,1528,3513,16198,8678,292,75,2802,13535,43800,715,2384,31263,273,246,120,17543,1175,342,921,6146,31491,59,840,346,566,1594,489,7330,15146,4346,3003,32560,23113,13519,1358,6751,957,12278,756,3336,213,865,17480,511,7263,1475,3207,2,130,1175,97605,4323,46,669,1828,2373,11249,1239,16,121,3873,465,37096,43680,302,137,2163,532,2967,679,447,2852,1303,1315,629,885,4392,3,39161,1998,208,53,5866,286,108,27686,1524,1276,18271,39,9422,2605,400,2130,348,1969,178,2042,705,4829,14,1327,2376,410,3101,5739,67,534,60,5609,4165,4227,3878,3318,35319,2801,9373,983,5029,603,3193,2248,17748,21719,4734,2808,4277,12542,2764,231,1442,6353,7848,2873,6015,2634,6052,12265,613,3908,1,1078,619,7048,660,233,8069,5168,540,1,2822,1642,189,1528,27124,6716,97605,1100,21719,1428,6716,1148,660,1524,302,31263,410,121,410,701,6194,701,716,6194,701,957,12278,756,3336,716,6194,701,410,15146,1303,701,701,716,4159,6716,177,2899,1106,123,540,416,1428,3977,4734,2808,4277,12542,2764,231,1442,177,2899,1106,123,540,416,1428,3977,513,2764,1100,20987,47444,300,137,2163,532,2967,679,447,2852,1303,1315,629,885,4392,43800,715,2384,31263,273,246,120,17543,1175,540,1,2822,1642,189,1528,27124,6716,97605,716,6194,701,957,12278,756,3336,716,6194,701,410,15146,1303,701,NA,NA,NA,NA,NA,2808,4277,12542,2764,231,1442,6353,7848,2873,6015,2634,6052,246,120,17543,1175,342,921,6146,31491,716,121,410,2899,"Her2"
"207","TCGA-A8-A09E-01A-11R-A00Z-07",328,1859,2853,2085,1115,10088,4019,383,1128,4021,1871,8073,671,5425,77,35425,54296,952,155,20780,222,3808,2812,984,337,362,462,3121,6503,615,18,3661,30338,8141,1239,3531,18748,610,973,554,13396,2148,1207,5617,425,125688,11,1027,2138,1508,267,3426,9976,7105,4516,8824,51479,10021,26871,1623,6469,724,21484,605,1356,2831,2114,20304,1863,5118,178,7479,15,102,628,16186,2584,4,263,2290,2855,4448,1334,20,44,885,274,22914,51611,1045,657,3579,1125,2187,1125,1344,664,184,2881,1644,4652,23765,8,47493,4538,96,2706,11289,103,3,29744,344,666,19243,10,6049,1442,879,248,418,5856,147,1647,1112,5694,3,7189,2210,790,5114,4846,24,2047,4,2194,2646,4102,4341,5395,37630,86,9799,1285,5481,1,965,4165,17478,39265,3834,10242,2055,2636,7310,72,1305,13860,4998,75211,72436,3161,2729,10085,1147,1032,4,38952,676,3887,202,1611,9972,5638,984,3,337,2362,19,362,72870,2085,16186,77,39265,1871,2085,2812,202,344,1045,18748,790,44,790,328,3808,328,1859,3808,328,724,21484,605,1356,1859,3808,328,790,7105,184,328,328,1859,2853,2085,1115,10088,4019,383,1128,4021,1871,8073,3834,10242,2055,2636,7310,72,1305,1115,10088,4019,383,1128,4021,1871,8073,671,5425,77,35425,54296,952,657,3579,1125,2187,1125,1344,664,184,2881,1644,4652,23765,8141,1239,3531,18748,610,973,554,13396,2148,984,3,337,2362,19,362,72870,2085,16186,1859,3808,328,724,21484,605,1356,1859,3808,328,790,7105,184,328,NA,NA,NA,NA,NA,10242,2055,2636,7310,72,1305,13860,4998,75211,72436,3161,2729,973,554,13396,2148,1207,5617,425,125688,1859,44,790,10088,"Her2"
"208","TCGA-A2-A0EN-01A-13R-A084-07",506,869,4350,2385,296,4434,1370,83,476,302,681,3141,454,3000,878,20938,24541,215,225,18102,655,2282,910,319,1619,869,1380,9775,4411,334,66,2605,25121,22561,706,2788,11117,211,226,105,232,2501,712,1266,3020,19550,1404,653,415,491,1657,2822,13116,7654,5195,3369,41121,41650,14989,3912,11409,1327,14110,720,3520,272,594,42922,534,6522,1496,4519,3,129,1196,91990,6336,32,1717,2593,3212,6456,2482,170,1076,9064,1073,48899,1418,483,268,3496,369,1919,904,713,1612,5542,1692,899,4699,20207,1469,33814,3033,7645,11,5880,993,110,38123,1667,17218,22703,84,3153,3620,840,2980,776,2483,228,3183,1369,5620,7,1973,3186,320,6365,4682,28,1863,482,5063,3730,4172,5953,4328,25418,1433,12180,443,7478,4489,6156,3021,10304,28274,5671,21092,9163,25622,3746,455,1913,8767,17091,6586,9294,4157,6294,17993,354,1776,28,2281,934,5622,1681,208,6511,10013,319,42,1619,1088,300,869,78205,2385,91990,878,28274,681,2385,910,1681,1667,483,11117,320,1076,320,506,2282,506,869,2282,506,1327,14110,720,3520,869,2282,506,320,7654,5542,506,506,869,4350,2385,296,4434,1370,83,476,302,681,3141,5671,21092,9163,25622,3746,455,1913,296,4434,1370,83,476,302,681,3141,454,3000,878,20938,24541,215,268,3496,369,1919,904,713,1612,5542,1692,899,4699,20207,22561,706,2788,11117,211,226,105,232,2501,319,42,1619,1088,300,869,78205,2385,91990,869,2282,506,1327,14110,720,3520,869,2282,506,320,7654,5542,506,NA,NA,NA,NA,NA,21092,9163,25622,3746,455,1913,8767,17091,6586,9294,4157,6294,226,105,232,2501,712,1266,3020,19550,869,1076,320,4434,"LumA"
"209","TCGA-A8-A08F-01A-11R-A00Z-07",581,2614,1752,1666,2850,2126,1968,207,1937,3507,855,9670,1710,3544,230,15208,41495,2521,139,11399,89,2165,1058,2490,0,15,7,3295,23260,1532,4,10985,15663,29604,7450,3906,2797,1253,1165,539,833,3658,1543,5073,107,111892,14,2670,2815,2024,975,1094,9438,6708,5426,6249,50059,8686,19709,5370,5530,1130,20123,1488,1775,166,199,14548,1766,5062,85,5926,0,131,987,202690,2691,78,685,1040,847,1260,514,245,221,5994,395,9451,47215,1169,772,1824,2399,5087,524,1400,910,102,1672,1566,3781,14946,816,85947,2184,866,90,9863,503,24,19280,2844,17024,15278,6,1874,2394,400,454,583,381,362,1540,1475,1515,1,1295,1360,1089,4099,3128,48,921,3,4648,2097,4082,5330,5227,20531,1593,10497,1749,5025,4498,2189,2804,18508,48713,5272,3777,9498,12563,4539,66,509,12542,15702,29114,5103,1377,8314,6919,825,1500,670,8326,875,3623,1921,3034,6076,2336,2490,0,0,68,0,15,35676,1666,202690,230,48713,855,1666,1058,1921,2844,1169,2797,1089,221,1089,581,2165,581,2614,2165,581,1130,20123,1488,1775,2614,2165,581,1089,6708,102,581,581,2614,1752,1666,2850,2126,1968,207,1937,3507,855,9670,5272,3777,9498,12563,4539,66,509,2850,2126,1968,207,1937,3507,855,9670,1710,3544,230,15208,41495,2521,772,1824,2399,5087,524,1400,910,102,1672,1566,3781,14946,29604,7450,3906,2797,1253,1165,539,833,3658,2490,0,0,68,0,15,35676,1666,202690,2614,2165,581,1130,20123,1488,1775,2614,2165,581,1089,6708,102,581,NA,NA,NA,NA,NA,3777,9498,12563,4539,66,509,12542,15702,29114,5103,1377,8314,1165,539,833,3658,1543,5073,107,111892,2614,221,1089,2126,"LumB"
"210","TCGA-AO-A1KT-01A-11R-A13Q-07",815,2555,10018,1465,2260,4326,4128,328,2271,2173,11386,7517,2446,2104,131,25329,20863,1192,2853,18465,397,2834,2171,2966,1166,2206,1471,820,6230,1830,52,5012,33041,88547,6123,7177,1160,1382,993,507,3736,2824,2484,2653,362,38625,559,4489,3470,2031,505,87,19128,10993,5068,6598,61710,14051,47586,3957,12273,903,31302,1741,2833,1308,1712,35231,1247,10841,494,24259,22,52,1273,91362,6440,100,569,4632,3779,11461,1663,19,87,3696,582,46668,82494,675,1026,3028,1487,3066,1154,1817,848,103,4058,2386,6575,20450,1886,42774,4885,3274,2279,14058,4216,1153,43455,6343,540,21867,133,1825,3326,1356,1974,1209,1390,266,3996,2482,7192,0,14683,3186,874,6050,7192,61,1377,92,6559,3126,5104,9691,6384,65658,3654,15274,3511,6369,18658,4301,5847,32895,58972,4986,20035,2318,4917,17643,132,3359,11446,13691,8769,27924,3881,21755,14935,2926,1158,3,1429,944,4954,1495,2306,5281,4415,2966,35,1166,1601,163,2206,72367,1465,91362,131,58972,11386,1465,2171,1495,6343,675,1160,874,87,874,815,2834,815,2555,2834,815,903,31302,1741,2833,2555,2834,815,874,10993,103,815,815,2555,10018,1465,2260,4326,4128,328,2271,2173,11386,7517,4986,20035,2318,4917,17643,132,3359,2260,4326,4128,328,2271,2173,11386,7517,2446,2104,131,25329,20863,1192,1026,3028,1487,3066,1154,1817,848,103,4058,2386,6575,20450,88547,6123,7177,1160,1382,993,507,3736,2824,2966,35,1166,1601,163,2206,72367,1465,91362,2555,2834,815,903,31302,1741,2833,2555,2834,815,874,10993,103,815,NA,NA,NA,NA,NA,20035,2318,4917,17643,132,3359,11446,13691,8769,27924,3881,21755,993,507,3736,2824,2484,2653,362,38625,2555,87,874,4326,"Basal"
"211","TCGA-5L-AAT1-01A-12R-A41B-07",194,323,2081,1034,61,1554,384,40,429,75,1272,387,57,510,64,16183,5288,14,2460,8427,191,1547,1262,74,2637,1429,2483,2272,2059,110,84,239,10180,51916,96,1401,3080,56,66,43,45,508,126,196,878,5198,1428,330,93,210,439,160,4424,4522,3048,1297,15098,10546,3958,954,4369,556,5130,104,1471,213,155,16118,198,4025,285,6206,2,66,522,23310,1968,12,850,885,1223,4671,786,93,555,3221,251,11652,2151,212,50,1135,72,1443,303,281,900,117,730,403,1261,7417,1289,10447,1537,377,1610,1914,289,193,8141,941,11285,10356,17,1503,1278,748,573,112,577,190,2348,586,1702,7,899,1134,174,3026,1915,13,539,64,1856,1790,947,1991,999,8247,303,4339,193,3029,3,3018,1269,14429,12869,2377,3670,2809,19100,1089,319,776,8716,8285,6146,6421,2141,2232,5296,264,451,9,1316,995,2514,1640,61,1712,4285,74,1,2637,3896,88,1429,25254,1034,23310,64,12869,1272,1034,1262,1640,941,212,3080,174,555,174,194,1547,194,323,1547,194,556,5130,104,1471,323,1547,194,174,4522,117,194,194,323,2081,1034,61,1554,384,40,429,75,1272,387,2377,3670,2809,19100,1089,319,776,61,1554,384,40,429,75,1272,387,57,510,64,16183,5288,14,50,1135,72,1443,303,281,900,117,730,403,1261,7417,51916,96,1401,3080,56,66,43,45,508,74,1,2637,3896,88,1429,25254,1034,23310,323,1547,194,556,5130,104,1471,323,1547,194,174,4522,117,194,NA,NA,NA,NA,NA,3670,2809,19100,1089,319,776,8716,8285,6146,6421,2141,2232,66,43,45,508,126,196,878,5198,323,555,174,1554,"LumB"
"212","TCGA-E9-A2JS-01A-11R-A180-07",594,3449,3961,1312,2786,3783,3265,373,2181,3236,1814,8039,1318,5815,137,31673,36820,993,1485,20696,144,2307,1962,1911,1173,1751,1030,27831,5785,752,53,7841,12330,49954,3856,5551,6441,686,1493,714,843,3708,5442,15608,1026,103910,16,2301,5365,2140,406,1579,13509,13074,4700,11035,34219,11162,46578,4486,8767,858,21917,2314,3531,313,2891,14025,2540,7686,839,943,0,289,1499,57626,2395,8,371,936,945,4678,1141,16,69,2138,488,92889,26724,1417,1545,3898,3810,2808,1390,1321,812,10,2869,2897,6378,14583,1277,78305,4691,58,8,9719,336,14,32127,970,1208,16676,17,1525,1033,1452,2285,1855,1032,162,3154,1770,5549,9,4359,2232,1047,6448,5425,929,1125,12,3807,1549,3768,7633,5519,29134,1149,8061,3886,3547,184,2054,4623,18960,107411,5453,21608,6685,9998,10986,425,2722,21207,7873,57860,19033,2546,4369,13626,782,1326,454,16612,659,3717,767,1276,8118,2913,1911,0,1173,1101,59,1751,54964,1312,57626,137,107411,1814,1312,1962,767,970,1417,6441,1047,69,1047,594,2307,594,3449,2307,594,858,21917,2314,3531,3449,2307,594,1047,13074,10,594,594,3449,3961,1312,2786,3783,3265,373,2181,3236,1814,8039,5453,21608,6685,9998,10986,425,2722,2786,3783,3265,373,2181,3236,1814,8039,1318,5815,137,31673,36820,993,1545,3898,3810,2808,1390,1321,812,10,2869,2897,6378,14583,49954,3856,5551,6441,686,1493,714,843,3708,1911,0,1173,1101,59,1751,54964,1312,57626,3449,2307,594,858,21917,2314,3531,3449,2307,594,1047,13074,10,594,NA,NA,NA,NA,NA,21608,6685,9998,10986,425,2722,21207,7873,57860,19033,2546,4369,1493,714,843,3708,5442,15608,1026,103910,3449,69,1047,3783,"LumA"
"213","TCGA-AR-A24T-01A-11R-A169-07",471,505,4230,7868,137,4545,958,81,141,501,2798,1816,369,2249,1409,21795,27135,320,379,28374,600,4828,1759,151,1930,4174,4885,6449,6558,288,116,1649,21945,35329,418,6330,7355,160,140,75,51398,727,222,672,4947,226941,859,758,243,484,2696,153,16306,10362,4578,3214,32080,9027,20223,6541,4757,1191,20406,882,4096,530,1075,33087,440,13207,4356,5715,3,136,1604,109258,21300,18,884,2413,2694,17657,1510,102,162,3437,643,42085,3051,159,139,3802,227,1979,914,638,2579,422,1697,839,2026,10601,399,43555,3050,1837,780,7746,707,128,42599,1965,1501,28475,37,1514,3351,1171,2689,424,2394,303,2784,1548,7530,0,1538,4816,244,6488,10844,78,1335,145,6486,3987,11135,6220,5060,45097,1862,14803,1039,5037,6879,6641,2707,17361,37248,5195,12429,5461,9240,3536,152,764,5885,7564,9792,9262,5929,2851,22171,544,4172,92,1793,658,3481,7408,578,4688,11053,151,0,1930,594,157,4174,25946,7868,109258,1409,37248,2798,7868,1759,7408,1965,159,7355,244,162,244,471,4828,471,505,4828,471,1191,20406,882,4096,505,4828,471,244,10362,422,471,471,505,4230,7868,137,4545,958,81,141,501,2798,1816,5195,12429,5461,9240,3536,152,764,137,4545,958,81,141,501,2798,1816,369,2249,1409,21795,27135,320,139,3802,227,1979,914,638,2579,422,1697,839,2026,10601,35329,418,6330,7355,160,140,75,51398,727,151,0,1930,594,157,4174,25946,7868,109258,505,4828,471,1191,20406,882,4096,505,4828,471,244,10362,422,471,NA,NA,NA,NA,NA,12429,5461,9240,3536,152,764,5885,7564,9792,9262,5929,2851,140,75,51398,727,222,672,4947,226941,505,162,244,4545,"Her2"
"214","TCGA-BH-A1F5-01A-12R-A13Q-07",776,1014,5042,11640,251,1154,1903,102,278,524,1128,1082,586,1503,180,8328,79016,129,177,42602,322,4664,1060,227,102,91,181,14344,16917,430,8,1371,12651,6482,222,2709,7919,303,250,58,26341,126,496,786,299,72658,4107,1081,654,670,800,1322,11631,21640,6288,5348,17687,11702,77776,6808,1171,1606,28035,1762,6377,66,742,24999,644,11362,1094,4119,0,69,2038,6871,3366,7,285,2759,4214,17195,2519,19,31,1308,744,27942,37977,129,175,4816,687,1154,1405,775,110,199,1797,2221,3442,10743,756,51242,5150,76,110,10515,543,85,16616,1896,308,32483,16,1983,1958,627,2132,638,1304,409,2962,1146,3726,0,963,5061,292,2326,13454,370,373,149,3945,3089,4706,5132,3502,81406,5974,5103,1798,5396,3,1261,2630,16425,41868,3555,9497,19702,8209,3153,32,1709,1930,1743,3724,23217,2054,5929,11628,523,6600,14,185,100,2112,2742,613,10511,2070,227,70056,102,51198,1,91,41622,11640,6871,180,41868,1128,11640,1060,2742,1896,129,7919,292,31,292,776,4664,776,1014,4664,776,1606,28035,1762,6377,1014,4664,776,292,21640,199,776,776,1014,5042,11640,251,1154,1903,102,278,524,1128,1082,3555,9497,19702,8209,3153,32,1709,251,1154,1903,102,278,524,1128,1082,586,1503,180,8328,79016,129,175,4816,687,1154,1405,775,110,199,1797,2221,3442,10743,6482,222,2709,7919,303,250,58,26341,126,227,70056,102,51198,1,91,41622,11640,6871,1014,4664,776,1606,28035,1762,6377,1014,4664,776,292,21640,199,776,NA,NA,NA,NA,NA,9497,19702,8209,3153,32,1709,1930,1743,3724,23217,2054,5929,250,58,26341,126,496,786,299,72658,1014,31,292,1154,"LumA"
