gene,logFC,logCPM,LR,PValue,FDR
A1BG,1.3674113588504,3.2498834735825,127.789573774216,1.24797108926852E-29,6.12389898928373E-29
A2M,-1.10732304737174,9.7557919537901,159.394260705914,1.53460496203816E-36,9.63121436984168E-36
NAT1,3.19671197853805,7.2014650745927,145.868752237051,1.38686415289385E-33,7.97165875300971E-33
SERPINA3,1.22439592179626,10.0643165671982,44.3769167846633,2.70862091944857E-11,5.91922103497396E-11
AAMP,0.363192664004932,7.00886244564593,56.8062759870706,4.80929076310552E-14,1.20560120072261E-13
AARS,0.338668168187551,7.40227942971335,26.1170074836011,3.21341054920143E-07,5.60652803529252E-07
ABAT,1.21654308574179,6.19673779210419,53.1553407458409,3.08186381685414E-13,7.42689285184607E-13
ABCA1,-1.33129117500854,5.69856402568253,299.099593873067,5.17535928917163E-67,7.76982115863236E-66
ABCA2,0.096400040399692,6.26645087060738,1.46641053199346,0.225912885914977,0.25281940260984
ABCA3,0.978319043917845,6.87796111126133,75.0901876682201,4.49695700530762E-18,1.35683105105443E-17
ABCB7,-0.277368454874302,4.61427491238559,41.8171766765483,1.00219121310764E-10,2.12767408935311E-10
ABCF1,0.429993574180234,6.62569317201623,80.1306982701815,3.5044530392351E-19,1.11425745331615E-18
ABCA4,0.432208080731469,2.22912419504329,4.5297179934405,0.033311106565388,0.040714182197646
ABL1,-0.275490734398127,6.86917467120787,37.5491936630447,8.91362616042676E-10,1.79684128867401E-09
ABP1,3.72865522927464,1.99110531032272,129.11068342574,6.41400543165239E-30,3.1788280497038E-29
ABL2,0.274672744779828,6.02209374082266,23.4394160139095,1.2890999121845E-06,2.17129212759146E-06
ABR,-0.227328002613288,6.5759357150073,18.7810947843457,1.46613258090922E-05,2.30961630288566E-05
ACAA1,0.021067817233791,6.05994621816773,0.111485270520461,0.738459471499755,0.760625002354648
ACACA,-0.162836821221506,7.09754067925256,3.780549086473,0.051851642478123,0.062281354256527
ACACB,-3.56755191626444,5.94573960142221,1409.79362381873,1.56408033619911e-308,6.47051345750371E-306
ACADL,-3.40015461558877,1.03646089182229,319.200761515229,2.16268543750748E-71,3.50859196304999E-70
ACADM,-0.664011061533875,5.84465122380271,116.801858852368,3.17228351548514E-27,1.41197903156366E-26
ACADS,-1.27319442335719,4.45997776774926,189.048302516973,5.12942542567799E-43,3.99960905050379E-42
ACADSB,-0.040151903825779,7.00371581030551,0.097848531153659,0.754426918062867,0.77514177928322
ACADVL,-0.670824749198552,7.75113370248168,117.395764049298,2.35138551032213E-27,1.05479471100083E-26
ACAT1,-0.7802405695255,6.0416043153353,135.060952209924,3.20187176825539E-31,1.67552622082317E-30
ACAT2,0.665942514196705,4.86330029322909,64.7669551087833,8.43011013425431E-16,2.28854593929E-15
ACCN2,-0.202047928584477,2.8445062703813,2.87559065050596,0.089931973286318,0.10556923450407
ACHE,-0.168563929114978,1.18261866860743,0.892509968209652,0.344798035549188,0.375783179175562
ACLY,0.349837785805412,7.92179530010918,29.2212891046895,6.45658793362153E-08,1.17999710511014E-07
ACO1,-1.96268314710752,5.97365073793733,1134.92410923484,8.48078036730386E-249,1.85741561779789E-246
ACO2,-0.082827017724884,7.15864691405139,2.44531587782444,0.117876154207835,0.136712838923548
ACOX1,-0.569288083484835,6.50881550887267,109.128905689274,1.52067719395738E-25,6.32963819161747E-25
ACP1,0.526370528946404,6.50966468397862,122.932099864147,1.44303684312098E-28,6.78168119425709E-28
ACP2,0.540955217375607,6.01877604314686,92.6739412346876,6.16601385400309E-22,2.19795223378813E-21
ACP5,0.898935307353501,6.43617186763835,49.4044865105991,2.08268791974898E-12,4.82161840336103E-12
ACPP,0.239530614660363,1.13435511181892,2.90066567869371,0.088542980342159,0.104004306825126
ACTA1,-5.81776860586151,5.34194035288831,911.288640315699,3.45002988174597E-200,4.17734105925551E-198
ACTA2,-1.6379540452759,8.91251877214035,348.164624578354,1.06370589497818E-77,1.96792197439877E-76
ACTB,0.40316279411724,12.2866662109769,54.3545825634503,1.67387193208091E-13,4.07936093675028E-13
ACTG1,0.617011238505234,11.9432340591244,144.794622221555,2.38156175315997E-33,1.35947103065586E-32
ACTG2,-1.99026638736692,6.46695978048169,120.936760658806,3.94509326511152E-28,1.82636847986652E-27
ACTN4,0.078680165766608,9.15574108197388,1.92428409843455,0.16538515223935,0.188568448346397
ACTL6A,0.892756657231584,6.17096024915773,195.356869298776,2.15340254439877E-44,1.75729447088936E-43
ACTN1,-0.354467243594047,8.44235449181878,28.3772944050659,9.98293190580914E-08,1.80409907624336E-07
ACTN2,-4.88987198000472,3.25852019005472,550.78616817084,8.49115608674304E-122,3.57228213558938E-120
ACTN3,-5.62340140190909,-0.08675898465496,994.13675979819,3.37852170690893E-218,5.35280040223347E-216
ACVR1,-0.440886352377965,5.62711747633396,72.3061722047523,1.84270153988427E-17,5.41716423874781E-17
ACVR1B,0.20428169592796,6.068910561042,10.8263669282512,0.001000647914562,0.001387712952005
ACVR2A,-0.923155148592523,4.20228512437537,250.25353762819,2.28647417601783E-56,2.64177346031292E-55
ACVR2B,-0.006177414539735,4.43682594380192,0.006751979748287,0.934511186467732,0.941783401005815
ACVRL1,-1.05843480273643,4.79261614772447,260.336529018278,1.44930914020666E-58,1.77650708025496E-57
ACY1,0.249354443546346,5.29506138608595,12.6363818174716,0.000378311470719,0.000541853503887
ACYP1,0.511350522724282,2.16895275136328,38.3965086901239,5.77355934561299E-10,1.17675679942814E-09
ACYP2,-0.598723939949449,2.81693349800243,77.1546113636502,1.58085101829476E-18,4.87849444995107E-18
ADA,0.497171084980354,3.11423868809223,29.0918136307705,6.9028049395206E-08,1.25953778441902E-07
ADAM8,2.36752924005128,4.47439187073548,296.301485030901,2.1065396141484E-66,3.121661141643E-65
ADAM10,-0.209418429978061,6.43098855940517,7.68492853145131,0.005568388501999,0.007299534368477
ADAR,0.855509561191088,9.29225939861267,174.717317166647,6.90140668730124E-40,4.84366869905643E-39
ADARB1,-0.560321082817553,4.95013210710116,90.0540367547651,2.31743375355148E-21,8.08468983172692E-21
ADCY1,0.910931811480417,5.93847935079596,18.9990690139939,1.30782248462495E-05,2.06810365932463E-05
ADCY2,0.415386840020599,3.21591367357219,4.5609243708775,0.032709414666625,0.040014893431087
ADCY3,-0.512713026292733,5.76588873153516,57.483865152084,3.40763214661975E-14,8.5987572957655E-14
ADCY5,-1.211399930325,3.62128767422112,45.3084716579897,1.68319472571417E-11,3.71870924937859E-11
ADCY6,-0.610394632339623,6.6926393579412,82.4184382449503,1.10121732433662E-19,3.58087982780466E-19
ADCY7,0.157208091324252,5.07041314140504,3.10433841871372,0.078083949919502,0.09227201984854
ADCY9,0.350712144399545,5.79602323430186,14.6693011261909,0.000128115992149,0.000189363980853
ADCYAP1,0.732561851753748,1.39964856056693,7.69722054790077,0.005530592577909,0.007251264659107
ADD1,-0.479779779122753,8.01152219814995,138.898811717727,4.63473318840788E-32,2.51457491347754E-31
ADD2,0.165674374074117,1.81930227455814,0.918215197647214,0.337944039865296,0.36888013674244
ADD3,-1.44282103436281,6.32842305466606,289.794508869101,5.51227690719763E-65,7.87098178129379E-64
PLIN2,-0.935958522943462,6.15546096881226,104.526549594955,1.5510114711664E-24,6.20446248726326E-24
ADH1A,-5.06011097247597,0.927581364242019,761.319200070899,1.38747223959405E-167,1.18756460139507E-165
ADH1B,-5.00697641553861,7.67952567766922,754.212922021344,4.86815100987642E-166,4.07311084213986E-164
ADH1C,-3.42649455694633,1.64819114276501,398.954924170744,9.29897878916014E-89,2.11434642911392E-87
ADH5,-0.908643575750583,6.82301998512945,593.699081546571,3.92926127931244E-131,1.93769828585431E-129
ADK,0.110480751304688,4.45885885317593,3.98504668160194,0.045905828641282,0.055371791200665
ADM,-1.43277784670049,3.96004373826132,123.138738949795,1.30031122695381E-28,6.12252137307086E-28
ADORA1,-0.003240661315856,4.44328767600207,0.000455418224874,0.982974012849213,0.984891817368362
ADORA2A,2.46243527123186,4.27881539416466,192.34917687727,9.76275999042895E-44,7.79189627746294E-43
ADORA2B,-0.533856254515961,1.68441437246871,18.1203936152431,2.07368550356807E-05,3.23352509733423E-05
ADORA3,0.57146646975607,3.27059726313109,33.8142576904315,6.06328672254755E-09,1.17182103761875E-08
ADPRH,-0.784518683695438,3.93918162063768,173.974767744806,1.00252383033757E-39,7.00637607002226E-39
PARP1,1.16977772189236,8.25698169004595,355.561420277892,2.60668397047305E-79,4.93910233743703E-78
PARP4,-0.300652893044885,6.46020032763714,21.9753193777415,2.76179208818524E-06,4.55951330998146E-06
ADRA1B,-0.648945457105421,0.556162998582925,18.2049174696526,1.98366004986911E-05,3.09866258891343E-05
ADRA2A,-1.38994052601896,4.90064016900112,139.179138844284,4.0245817251876E-32,2.18672366410868E-31
ADRA2B,-1.1418716968251,0.450197331178969,90.298908570365,2.04765524335062E-21,7.15694192424803E-21
ADRA2C,0.057502330496989,2.16997873609826,0.116405091319393,0.732966645718541,0.755594397084947
ADRB1,-1.24689046995833,0.913559813093873,36.5142171666976,1.5155677710641E-09,3.02240905389096E-09
ADRB2,-2.77608020155765,2.1476217422189,821.55271480228,1.11221820883081E-180,1.08975432790245E-178
ADRBK1,0.616150042058902,6.86751305708398,91.1999909718866,1.29860846079733E-21,4.5764732150153E-21
ADRBK2,-1.71554346812669,5.36389864047431,649.352023220155,3.09053351304046E-143,1.84848657067115E-141
ADSL,0.03315817003678,5.49651790356791,0.463580067697421,0.495955559580915,0.52691297965748
ADSS,0.783732618327024,6.77768432487441,162.275859398968,3.60098835840327E-37,2.31062126763032E-36
AP2A1,0.493916141087051,6.83840233934944,96.5173379826731,8.84657352179657E-23,3.28804640529364E-22
AP2A2,-0.04693110376595,6.48218570083792,1.38303786132587,0.239584366100052,0.267235617460162
AP1B1,0.341814210984651,7.28492435684578,43.8797635786377,3.49180545195669E-11,7.57957420142705E-11
